# Great Lakes Diversion Flows
# Units: cms
# Diversion flows copied from H&H/GL_H&HData & Reports/Flows/GLDiversions,1900-present.xls on 8/3/2015
# Coordinated through 2008
#missing data filled in
#
"Year","Month","Monthly Mean"
1932,1,54
1932,2,54
1932,3,51
1932,4,62
1932,5,76
1932,6,76
1932,7,76
1932,8,76
1932,9,76
1932,10,79
1932,11,76
1932,12,59
1933,1,54
1933,2,54
1933,3,51
1933,4,59
1933,5,76
1933,6,76
1933,7,79
1933,8,79
1933,9,82
1933,10,82
1933,11,82
1933,12,65
1934,1,59
1934,2,62
1934,3,59
1934,4,62
1934,5,79
1934,6,76
1934,7,79
1934,8,79
1934,9,76
1934,10,79
1934,11,82
1934,12,62
1935,1,57
1935,2,59
1935,3,59
1935,4,74
1935,5,82
1935,6,76
1935,7,74
1935,8,85
1935,9,91
1935,10,74
1935,11,99
1935,12,76
1936,1,54
1936,2,62
1936,3,57
1936,4,65
1936,5,85
1936,6,79
1936,7,79
1936,8,74
1936,9,79
1936,10,88
1936,11,88
1936,12,74
1937,1,42
1937,2,42
1937,3,65
1937,4,71
1937,5,82
1937,6,82
1937,7,82
1937,8,85
1937,9,85
1937,10,88
1937,11,82
1937,12,68
1938,1,62
1938,2,57
1938,3,54
1938,4,74
1938,5,82
1938,6,79
1938,7,79
1938,8,82
1938,9,85
1938,10,88
1938,11,88
1938,12,68
1939,1,59
1939,2,59
1939,3,62
1939,4,68
1939,5,79
1939,6,85
1939,7,79
1939,8,82
1939,9,85
1939,10,88
1939,11,91
1939,12,65
1940,1,65
1940,2,68
1940,3,62
1940,4,71
1940,5,93
1940,6,96
1940,7,91
1940,8,99
1940,9,96
1940,10,110
1940,11,102
1940,12,79
1941,1,71
1941,2,74
1941,3,68
1941,4,88
1941,5,96
1941,6,99
1941,7,93
1941,8,93
1941,9,99
1941,10,99
1941,11,113
1941,12,93
1942,1,82
1942,2,82
1942,3,71
1942,4,93
1942,5,91
1942,6,99
1942,7,102
1942,8,102
1942,9,96
1942,10,96
1942,11,93
1942,12,82
1943,1,79
1943,2,76
1943,3,79
1943,4,82
1943,5,91
1943,6,93
1943,7,96
1943,8,93
1943,9,102
1943,10,139
1943,11,150
1943,12,139
1944,1,130
1944,2,139
1944,3,139
1944,4,144
1944,5,127
1944,6,156
1944,7,142
1944,8,161
1944,9,159
1944,10,159
1944,11,159
1944,12,113
1945,1,147
1945,2,144
1945,3,133
1945,4,144
1945,5,156
1945,6,156
1945,7,159
1945,8,156
1945,9,159
1945,10,144
1945,11,153
1945,12,113
1946,1,68
1946,2,130
1946,3,125
1946,4,119
1946,5,144
1946,6,144
1946,7,144
1946,8,150
1946,9,147
1946,10,159
1946,11,164
1946,12,150
1947,1,150
1947,2,144
1947,3,142
1947,4,150
1947,5,156
1947,6,159
1947,7,139
1947,8,147
1947,9,156
1947,10,161
1947,11,164
1947,12,170
1948,1,178
1948,2,181
1948,3,176
1948,4,164
1948,5,150
1948,6,153
1948,7,153
1948,8,153
1948,9,150
1948,10,164
1948,11,164
1948,12,176
1949,1,198
1949,2,193
1949,3,193
1949,4,147
1949,5,156
1949,6,156
1949,7,153
1949,8,159
1949,9,164
1949,10,164
1949,11,161
1949,12,173
1950,1,198
1950,2,207
1950,3,195
1950,4,159
1950,5,159
1950,6,159
1950,7,156
1950,8,159
1950,9,161
1950,10,204
1950,11,227
1950,12,212
1951,1,193
1951,2,170
1951,3,176
1951,4,227
1951,5,229
1951,6,229
1951,7,227
1951,8,232
1951,9,235
1951,10,238
1951,11,235
1951,12,212
1952,1,195
1952,2,198
1952,3,207
1952,4,232
1952,5,235
1952,6,235
1952,7,215
1952,8,229
1952,9,244
1952,10,241
1952,11,244
1952,12,224
1953,1,218
1953,2,215
1953,3,210
1953,4,249
1953,5,244
1953,6,241
1953,7,244
1953,8,238
1953,9,238
1953,10,235
1953,11,229
1953,12,218
1954,1,210
1954,2,204
1954,3,212
1954,4,164
1954,5,178
1954,6,176
1954,7,184
1954,8,232
1954,9,235
1954,10,229
1954,11,224
1954,12,218
1955,1,212
1955,2,215
1955,3,212
1955,4,227
1955,5,224
1955,6,190
1955,7,181
1955,8,195
1955,9,221
1955,10,241
1955,11,235
1955,12,221
1956,1,210
1956,2,207
1956,3,198
1956,4,224
1956,5,224
1956,6,241
1956,7,221
1956,8,232
1956,9,238
1956,10,238
1956,11,241
1956,12,221
1957,1,204
1957,2,212
1957,3,215
1957,4,227
1957,5,238
1957,6,238
1957,7,215
1957,8,235
1957,9,241
1957,10,244
1957,11,232
1957,12,207
1958,1,207
1958,2,201
1958,3,201
1958,4,161
1958,5,218
1958,6,227
1958,7,212
1958,8,207
1958,9,181
1958,10,176
1958,11,167
1958,12,176
1959,1,156
1959,2,176
1959,3,167
1959,4,187
1959,5,198
1959,6,201
1959,7,176
1959,8,210
1959,9,201
1959,10,210
1959,11,212
1959,12,198
1960,1,181
1960,2,178
1960,3,176
1960,4,193
1960,5,193
1960,6,187
1960,7,167
1960,8,210
1960,9,235
1960,10,227
1960,11,244
1960,12,210
1961,1,207
1961,2,210
1961,3,212
1961,4,229
1961,5,195
1961,6,193
1961,7,210
1961,8,232
1961,9,227
1961,10,238
1961,11,204
1961,12,215
1962,1,207
1962,2,201
1962,3,210
1962,4,224
1962,5,244
1962,6,241
1962,7,235
1962,8,241
1962,9,215
1962,10,221
1962,11,187
1962,12,207
1963,1,207
1963,2,207
1963,3,210
1963,4,215
1963,5,224
1963,6,221
1963,7,204
1963,8,207
1963,9,181
1963,10,161
1963,11,170
1963,12,170
1964,1,156
1964,2,161
1964,3,176
1964,4,184
1964,5,210
1964,6,195
1964,7,193
1964,8,173
1964,9,159
1964,10,133
1964,11,116
1964,12,150
1965,1,184
1965,2,190
1965,3,195
1965,4,195
1965,5,221
1965,6,232
1965,7,227
1965,8,227
1965,9,224
1965,10,207
1965,11,195
1965,12,198
1966,1,193
1966,2,198
1966,3,195
1966,4,229
1966,5,244
1966,6,241
1966,7,221
1966,8,241
1966,9,232
1966,10,193
1966,11,207
1966,12,212
1967,1,201
1967,2,201
1967,3,201
1967,4,232
1967,5,215
1967,6,244
1967,7,238
1967,8,232
1967,9,229
1967,10,229
1967,11,235
1967,12,215
1968,1,195
1968,2,193
1968,3,198
1968,4,232
1968,5,246
1968,6,229
1968,7,227
1968,8,249
1968,9,249
1968,10,255
1968,11,261
1968,12,227
1969,1,204
1969,2,210
1969,3,212
1969,4,232
1969,5,215
1969,6,207
1969,7,215
1969,8,235
