Mean,SD,2.5%,25%,50%,75%,97.5%,n.eff
clairDStore[1],-115.939714300224,49.7138585493568,-198.747160134684,-161.564633329657,-114.356865039397,-74.796623274607,-30.3998113214276,20.7966223780549
clairDStore[2],-35.5107340186457,43.0985004676915,-115.363418371019,-68.0501054464616,-36.7088850210102,-2.29506563466215,48.8840348239783,11.9911235377128
clairDStore[3],104.748467846578,38.8002303143174,29.9956263894762,71.9662760371508,108.603768401898,134.515167572813,177.347154256543,12.5350435018574
clairDStore[4],102.428785916696,30.4857273051618,33.7707836868942,81.8342312769057,106.291592166336,125.162352544558,154.11792464526,18.2224317534479
clairDStore[5],-17.5469580791789,59.0945045190024,-127.992225386773,-68.4684497223446,-5.89104372298167,27.2113592159931,80.982221495103,15.4131170922144
clairDStore[6],57.0579866163951,60.1000382429528,-16.5532060570728,9.54511768127696,32.9791269603232,109.738251701363,182.861169268344,25.3328645860002
clairDStore[7],-60.3975233196262,29.9040217360191,-108.758947723627,-84.2383743547055,-63.0214026661389,-39.20372087458,-2.6096303696567,16.7202146164588
clairDStore[8],-39.9447403092971,52.1224748825513,-131.374263986163,-81.5941427209861,-50.348205511385,6.58224382350704,46.4270606784833,19.8331110116911
clairDStore[9],-6.47250148428274,60.7918297256724,-126.559117228766,-54.8046921502325,4.41235925526945,46.3206022470148,82.7557506681481,8.72868564781719
clairDStore[10],-73.4819280501604,37.4671818730981,-135.571598676282,-101.069331198546,-76.5667125635191,-48.8077996942788,7.86495619241772,12.532390894682
clairDStore[11],-79.7361827741009,36.1036025082288,-152.78126269333,-100.619607991756,-83.8435192352387,-58.1194986433424,-6.64688810680708,13.9341836278468
clairDStore[12],65.6298765460887,29.3121840872408,16.9708396664904,41.8855471546511,64.6564385749947,88.4532973757448,121.973519044637,16.7535691765447
clairDStore[13],-120.181474358801,49.6054779062912,-203.28600960207,-164.927382269294,-118.939660519131,-78.8650352811257,-35.4082572434831,22.253623049502
clairDStore[14],-60.4255417031883,42.9314571270929,-138.364800811175,-92.2930680339038,-61.5783626225596,-27.3211472853876,23.3504153668453,13.8662622642578
clairDStore[15],100.588033149199,38.6012582276472,25.2327795719907,68.225247917296,105.001980695237,130.675231202607,172.974531506121,11.6009106242045
clairDStore[16],68.1886464235764,30.2056760626391,-0.959086333343555,47.1613683305017,72.2002583693266,91.0497370498779,118.878526031542,20.7744816238735
clairDStore[17],28.0957124359186,58.9816776220268,-81.4352084898909,-22.792501681813,41.0276007097256,73.0158726874544,125.532108776232,17.3468797019817
clairDStore[18],-114.122741800256,59.9902643656917,-186.807412810618,-161.528672693609,-138.273688156744,-61.8218819032016,12.4635181126288,28.7464840257467
clairDStore[19],9.88835610642683,29.6232361421121,-36.8108434511357,-13.8301555160229,7.37121772040868,30.4583689735051,67.553218173361,20.1463410305763
