superiorPrecipUSACE.AHPS,0.3121,0.316066666666667,0.338433333333333,0.369833333333333,0.464166666666667,0.562566666666667,0.3404,0.411733333333333,0.266166666666667,0.416533333333333,0.293366666666667,0.3761
superiorPrecipECCC.WCPS,0.991733333333333,0.999,0.972533333333333,0.983533333333333,0.9364,0.795066666666667,0.9866,0.828866666666667,0.9988,0.976866666666667,0.998666666666667,0.999933333333333
superiorPrecipECCC.CaPA,0.9804,0.9896,0.650733333333333,0.804133333333333,0.2713,0.3626,0.500433333333333,0.455166666666667,0.456733333333333,0.844166666666667,0.9964,0.999966666666667
superiorPrecipNWS.MPE,0.0510555555555556,0.556277777777778,0.416055555555556,0.715388888888889,0.594111111111111,0.437466666666667,0.7572,0.713666666666667,0.5848,0.6988,0.0862,0.121666666666667
superiorPrecipHistorical.Coordinated,0.371916666666667,0.9065,0.370416666666667,0.492333333333333,0.504583333333333,0.709066666666667,0.585866666666667,0.343933333333333,0.602933333333333,0.9344,0.819333333333333,0.7158
superiorPrecipUSACE.Thiessen,0.0189333333333333,0.0708,0.167266666666667,0.199733333333333,0.392266666666667,0.8805,0.323916666666667,0.0326666666666667,0.489,0.0435833333333333,0.228266666666667,0.1264
superiorEvapUSACE.AHPS,0.6586,0.772433333333333,0.6419,0.774966666666667,0.628666666666667,0.645433333333333,0.8729,0.764366666666667,0.628566666666667,0.6191,0.6002,0.703933333333333
superiorEvapECCC.WCPS,0.708733333333333,0.701133333333333,0.4974,0.9434,0.798333333333333,0.623266666666667,0.673666666666667,0.869733333333333,0.694466666666667,0.9696,0.8886,0.615933333333333
superiorEvapGLERL.FVCOM,0.448333333333333,0.544444444444445,0.654444444444444,0.989777777777778,0.999833333333333,1,1,1,1,0.792,0.477333333333333,0.164444444444444
superiorRunoffNOAA.GLERL.GLM.HMD,0.522466666666667,0.4906,0.386933333333333,0.0673333333333333,0.517166666666667,0.558266666666667,0.408733333333333,0.539866666666667,0.359066666666667,0.373,0.404266666666667,0.461866666666667
superiorRunoffUSACE.AHPS,0.568933333333333,0.324433333333333,0.249166666666667,0.201966666666667,0.494033333333333,0.421166666666667,0.432133333333333,0.455266666666667,0.3696,0.430866666666667,0.471466666666667,0.577666666666667
superiorRunoffECCC.WCPS,0.559,0.577333333333333,0.869266666666667,0.00766666666666667,0,0.4176,0.974533333333333,0.9962,0.985933333333333,0.308933333333333,0.0708,0.292666666666667
superiorRunoffECCC.WATFLOOD,0.6209,0.598833333333333,0.566333333333333,0.465766666666667,0.999851851851852,0.9989,0.932066666666667,0.726366666666667,0.8341,0.985566666666667,0.9968,0.912433333333333
superiorRunoffECCC.SWAT,3e-04,0,0.1945,0.808,0.9517,0.657633333333333,0.412833333333333,0.185966666666667,0.3461,0.619966666666667,0.6813,0.264866666666667
superiorOutflowSt.Marys..IGS.,0.5136,0.377740740740741,0.278185185185185,0.653933333333333,0.672033333333333,0.731933333333333,0.703866666666667,0.605233333333333,0.5317,0.455366666666667,0.485733333333333,0.690566666666667
superiorOutflowSt..Marys..Flow.Accounting.,0.475966666666667,0.640833333333333,0.716333333333333,0.345233333333333,0.331033333333333,0.243466666666667,0.284966666666667,0.415933333333333,0.481066666666667,0.564933333333333,0.530266666666667,0.329533333333333
superiorDiversionMonthly.Mean,0.4817,0.487733333333333,0.489166666666667,0.529233333333333,0.517866666666667,0.506833333333333,0.490366666666667,0.489466666666667,0.489166666666667,0.4958,0.5009,0.4884
miHuronPrecipUSACE.AHPS,0.1277,0.0701666666666667,0.1268,0.1792,0.406033333333333,0.3979,0.4012,0.364566666666667,0.121333333333333,0.195033333333333,0.0628666666666667,0.176066666666667
miHuronPrecipECCC.WCPS,0.999866666666667,0.9996,1,0.999866666666667,0.9918,1,0.9958,0.999866666666667,1,1,1,0.999533333333333
miHuronPrecipECCC.CaPA,0.986433333333333,0.975233333333333,0.764566666666667,0.807,0.449666666666667,0.181433333333333,0.0574666666666667,0.1426,0.2403,0.699566666666667,0.905066666666667,0.991566666666667
miHuronPrecipNWS.MPE,0.482944444444444,0.625444444444444,0.543166666666667,0.771777777777778,0.670611111111111,0.729933333333333,0.5984,0.3962,0.622,0.826466666666667,0.451066666666667,0.270733333333333
miHuronPrecipHistorical.Coordinated,0.345583333333333,0.848166666666667,0.383083333333333,0.767166666666667,0.725833333333333,0.705533333333333,0.6002,0.637733333333333,0.514333333333333,0.963466666666667,0.4052,0.555733333333333
miHuronPrecipUSACE.Thiessen,0.00813333333333333,0.0524666666666667,0.112333333333333,0.292533333333333,0.182066666666667,0.228666666666667,0.168166666666667,0.419,0.17425,0.08425,0.153133333333333,0.0082
miHuronEvapUSACE.AHPS,0.691633333333333,0.6381,0.529066666666667,0.8524,0.8449,0.969866666666667,0.9697,0.747,0.5369,0.359266666666667,0.482966666666667,0.393
miHuronEvapECCC.WCPS,0.965533333333333,0.969866666666667,0.9006,0.836533333333333,0.9744,0.996333333333333,0.9994,0.992266666666667,0.998933333333333,0.999866666666667,0.960933333333333,0.795266666666667
miHuronEvapGLERL.FVCOM,0.675083333333333,0.891916666666667,0.80775,1,1,1,1,0.994222222222222,0.684,0.945,0.659111111111111,0.251777777777778
miHuronRunoffNOAA.GLERL.GLM.HMD,0.7262,0.656266666666667,0.497466666666667,0.400833333333333,0.374666666666667,0.316266666666667,0.2118,0.336866666666667,0.204333333333333,0.489333333333333,0.5478,0.577266666666667
