# Great Lakes Diversion Flows
# Units: cms
# Diversion flows copied from H&H/GL_H&HData & Reports/Flows/GLDiversions,1900-present.xls on 8/3/2015
# Coordinated through 2008
#missing data filled in
#
"Year","Month","Monthly Mean"
1932,1,50
1932,2,50
1932,3,50
1932,4,60
1932,5,80
1932,6,80
1932,7,80
1932,8,80
1932,9,80
1932,10,80
1932,11,80
1932,12,60
1933,1,50
1933,2,50
1933,3,50
1933,4,60
1933,5,80
1933,6,80
1933,7,80
1933,8,80
1933,9,80
1933,10,80
1933,11,80
1933,12,60
1934,1,60
1934,2,60
1934,3,60
1934,4,60
1934,5,80
1934,6,80
1934,7,80
1934,8,80
1934,9,80
1934,10,80
1934,11,80
1934,12,60
1935,1,60
1935,2,60
1935,3,60
1935,4,70
1935,5,80
1935,6,80
1935,7,70
1935,8,80
1935,9,90
1935,10,70
1935,11,100
1935,12,80
1936,1,50
1936,2,60
1936,3,60
1936,4,60
1936,5,80
1936,6,80
1936,7,80
1936,8,70
1936,9,80
1936,10,90
1936,11,90
1936,12,70
1937,1,40
1937,2,40
1937,3,60
1937,4,70
1937,5,80
1937,6,80
1937,7,80
1937,8,80
1937,9,80
1937,10,90
1937,11,80
1937,12,70
1938,1,60
1938,2,60
1938,3,50
1938,4,70
1938,5,80
1938,6,80
1938,7,80
1938,8,80
1938,9,80
1938,10,90
1938,11,90
1938,12,70
1939,1,60
1939,2,60
1939,3,60
1939,4,70
1939,5,80
1939,6,80
1939,7,80
1939,8,80
1939,9,80
1939,10,90
1939,11,90
1939,12,60
1940,1,60
1940,2,70
1940,3,60
1940,4,70
1940,5,90
1940,6,100
1940,7,90
1940,8,100
1940,9,100
1940,10,110
1940,11,100
1940,12,80
1941,1,70
1941,2,70
1941,3,70
1941,4,90
1941,5,100
1941,6,100
1941,7,90
1941,8,90
1941,9,100
1941,10,100
1941,11,110
1941,12,90
1942,1,80
1942,2,80
1942,3,70
1942,4,90
1942,5,90
1942,6,100
1942,7,100
1942,8,100
1942,9,100
1942,10,100
1942,11,90
1942,12,80
1943,1,80
1943,2,80
1943,3,80
1943,4,80
1943,5,90
1943,6,90
1943,7,100
1943,8,90
1943,9,100
1943,10,140
1943,11,150
1943,12,140
1944,1,130
1944,2,140
1944,3,140
1944,4,140
1944,5,130
1944,6,160
1944,7,140
1944,8,160
1944,9,160
1944,10,160
1944,11,160
1944,12,110
1945,1,150
1945,2,140
1945,3,130
1945,4,140
1945,5,160
1945,6,160
1945,7,160
1945,8,160
1945,9,160
1945,10,140
1945,11,150
1945,12,110
1946,1,70
1946,2,130
1946,3,120
1946,4,120
1946,5,140
1946,6,140
1946,7,140
1946,8,150
1946,9,150
1946,10,160
1946,11,160
1946,12,150
1947,1,150
1947,2,140
1947,3,140
1947,4,150
1947,5,160
1947,6,160
1947,7,140
1947,8,150
1947,9,160
1947,10,160
1947,11,160
1947,12,170
1948,1,180
1948,2,180
1948,3,180
1948,4,160
1948,5,150
1948,6,150
1948,7,150
1948,8,150
1948,9,150
1948,10,160
1948,11,160
1948,12,180
1949,1,200
1949,2,190
1949,3,190
1949,4,150
1949,5,160
1949,6,160
1949,7,150
1949,8,160
1949,9,160
1949,10,160
1949,11,160
1949,12,170
1950,1,200
1950,2,210
1950,3,200
1950,4,160
1950,5,160
1950,6,160
1950,7,160
1950,8,160
1950,9,160
1950,10,200
1950,11,230
1950,12,210
1951,1,190
1951,2,170
1951,3,180
1951,4,230
1951,5,230
1951,6,230
1951,7,230
1951,8,230
1951,9,240
1951,10,240
1951,11,240
1951,12,210
1952,1,200
1952,2,200
1952,3,210
1952,4,230
1952,5,240
1952,6,240
1952,7,220
1952,8,230
1952,9,240
1952,10,240
1952,11,240
1952,12,220
1953,1,220
1953,2,220
1953,3,210
1953,4,250
1953,5,240
1953,6,240
1953,7,240
1953,8,240
1953,9,240
1953,10,240
1953,11,230
1953,12,220
1954,1,210
1954,2,200
1954,3,210
1954,4,160
1954,5,180
1954,6,180
1954,7,180
1954,8,230
1954,9,240
1954,10,230
1954,11,220
1954,12,220
1955,1,210
1955,2,220
1955,3,210
1955,4,230
1955,5,220
1955,6,190
1955,7,180
1955,8,200
1955,9,220
1955,10,240
1955,11,240
1955,12,220
1956,1,210
1956,2,210
1956,3,200
1956,4,220
1956,5,220
1956,6,240
1956,7,220
1956,8,230
1956,9,240
1956,10,240
1956,11,240
1956,12,220
1957,1,200
1957,2,210
1957,3,220
1957,4,230
1957,5,240
1957,6,240
1957,7,220
1957,8,240
1957,9,240
1957,10,240
1957,11,230
1957,12,210
1958,1,210
1958,2,200
1958,3,200
1958,4,160
1958,5,220
1958,6,230
1958,7,210
1958,8,210
1958,9,180
1958,10,180
1958,11,170
1958,12,180
1959,1,160
1959,2,180
1959,3,170
1959,4,190
1959,5,200
1959,6,200
1959,7,180
1959,8,210
1959,9,200
1959,10,210
1959,11,210
1959,12,200
1960,1,180
1960,2,180
1960,3,180
1960,4,190
1960,5,190
1960,6,190
1960,7,170
1960,8,210
1960,9,240
1960,10,230
1960,11,240
1960,12,210
1961,1,210
1961,2,210
1961,3,210
1961,4,230
1961,5,200
1961,6,190
1961,7,210
1961,8,230
1961,9,230
1961,10,240
1961,11,200
1961,12,220
1962,1,210
1962,2,200
1962,3,210
1962,4,220
1962,5,240
1962,6,240
1962,7,240
1962,8,240
1962,9,220
1962,10,220
1962,11,190
1962,12,210
1963,1,210
1963,2,210
1963,3,210
1963,4,220
1963,5,220
1963,6,220
1963,7,200
1963,8,210
1963,9,180
1963,10,160
1963,11,170
1963,12,170
1964,1,160
1964,2,160
1964,3,180
1964,4,180
1964,5,210
1964,6,200
1964,7,190
1964,8,170
1964,9,160
1964,10,130
1964,11,120
1964,12,150
1965,1,180
1965,2,190
1965,3,200
1965,4,200
1965,5,220
1965,6,230
1965,7,230
1965,8,230
1965,9,220
1965,10,210
1965,11,200
1965,12,200
1966,1,190
1966,2,200
1966,3,200
1966,4,230
1966,5,240
1966,6,240
1966,7,220
1966,8,240
1966,9,230
1966,10,190
1966,11,210
1966,12,210
1967,1,200
1967,2,200
1967,3,200
1967,4,230
1967,5,220
1967,6,240
1967,7,240
1967,8,230
1967,9,230
1967,10,230
1967,11,240
1967,12,220
1968,1,200
1968,2,190
1968,3,200
1968,4,230
1968,5,250
1968,6,230
1968,7,230
1968,8,250
1968,9,250
1968,10,260
1968,11,260
1968,12,230
1969,1,200
1969,2,210
1969,3,210
1969,4,230
1969,5,220
1969,6,210
1969,7,220
1969,8,240
1969,9,240
1969,10,240
1969,11,240
1969,12,220
1970,1,200
1970,2,200
1970,3,200
1970,4,230
1970,5,250
1970,6,240
1970,7,220
1970,8,200
1970,9,230
1970,10,250
1970,11,250
1970,12,240
1971,1,200
1971,2,190
1971,3,160
1971,4,210
1971,5,230
1971,6,200
1971,7,240
1971,8,230
1971,9,230
1971,10,240
1971,11,240
1971,12,220
1972,1,200
1972,2,200
1972,3,190
1972,4,220
1972,5,240
1972,6,250
1972,7,240
1972,8,230
1972,9,230
1972,10,240
1972,11,240
1972,12,160
1973,1,10
1973,2,20
1973,3,210
1973,4,260
1973,5,270
1973,6,270
1973,7,270
1973,8,280
1973,9,270
1973,10,270
1973,11,260
1973,12,250
1974,1,210
1974,2,210
1974,3,220
1974,4,240
1974,5,260
1974,6,260
1974,7,260
1974,8,250
1974,9,220
1974,10,260
1974,11,260
1974,12,250
1975,1,240
1975,2,230
1975,3,230
1975,4,250
1975,5,220
1975,6,220
1975,7,200
1975,8,220
1975,9,250
1975,10,260
1975,11,260
1975,12,260
1976,1,240
1976,2,240
1976,3,250
1976,4,260
1976,5,260
1976,6,260
1976,7,270
1976,8,270
1976,9,270
1976,10,280
1976,11,280
1976,12,270
1977,1,220
1977,2,230
1977,3,250
1977,4,280
1977,5,270
1977,6,270
1977,7,240
1977,8,270
1977,9,270
1977,10,270
1977,11,260
1977,12,250
1978,1,230
1978,2,230
1978,3,250
1978,4,230
1978,5,240
1978,6,230
1978,7,220
1978,8,240
1978,9,270
1978,10,270
1978,11,260
1978,12,260
1979,1,230
1979,2,230
1979,3,250
1979,4,270
1979,5,280
1979,6,270
1979,7,290
1979,8,280
1979,9,270
1979,10,270
1979,11,270
1979,12,260
1980,1,240
1980,2,240
1980,3,240
1980,4,270
1980,5,270
1980,6,270
1980,7,270
1980,8,270
1980,9,270
1980,10,270
1980,11,260
1980,12,250
1981,1,200
1981,2,200
1981,3,220
1981,4,280
1981,5,260
1981,6,270
1981,7,270
1981,8,260
1981,9,260
1981,10,270
1981,11,280
1981,12,260
1982,1,200
1982,2,190
1982,3,180
1982,4,230
1982,5,260
1982,6,270
1982,7,270
1982,8,250
1982,9,270
1982,10,270
1982,11,260
1982,12,260
1983,1,240
1983,2,240
1983,3,180
1983,4,210
1983,5,250
1983,6,260
1983,7,270
1983,8,250
1983,9,250
1983,10,250
1983,11,250
1983,12,250
1984,1,190
1984,2,180
1984,3,200
1984,4,260
1984,5,270
1984,6,260
1984,7,270
1984,8,260
1984,9,260
1984,10,260
1984,11,260
1984,12,250
1985,1,200
1985,2,180
1985,3,180
1985,4,250
1985,5,260
1985,6,250
1985,7,230
1985,8,220
1985,9,230
1985,10,220
1985,11,230
1985,12,220
1986,1,240
1986,2,230
1986,3,230
1986,4,240
1986,5,180
1986,6,200
1986,7,170
1986,8,230
1986,9,240
1986,10,250
1986,11,250
1986,12,240
1987,1,230
1987,2,200
1987,3,220
1987,4,250
1987,5,250
1987,6,240
1987,7,240
1987,8,230
1987,9,250
1987,10,250
1987,11,250
1987,12,240
1988,1,250
1988,2,240
1988,3,240
1988,4,240
1988,5,260
1988,6,260
1988,7,250
1988,8,230
1988,9,230
1988,10,220
1988,11,230
1988,12,230
