# Coordinated beginning of month and monthly mean lakewide average water levels for Lake Ontario
# Units: meters above IGLD 1985
# Coordinated period:  Jan 1918 through previous December
# Coordinated by the Coordinating Committee on Great Lakes Basic Hydraulic and Hydrologic Data
# www.GreatLakesCC.org
#
"Year","Month","Beginning of Month","Monthly Mean"
2000,2,74.48,74.45
2000,3,74.5,74.58
2000,4,74.65,74.82
2000,5,74.96,75.1
2000,6,75.2,75.26
2000,7,75.32,75.24
2000,8,75.15,75.06
2000,9,74.94,74.81
2000,10,74.7,74.61
2000,11,74.5,74.46
2000,12,74.46,74.47
2001,1,74.5,74.49
2001,2,74.5,74.55
2001,3,74.6,74.65
2001,4,74.72,74.84
2001,5,74.92,74.93
2001,6,74.98,74.99
2001,7,75,74.97
2001,8,74.9,74.82
2001,9,74.74,74.63
2001,10,74.56,74.53
2001,11,74.5,74.47
2001,12,74.5,74.52
2002,1,74.54,74.56
2002,2,74.6,74.68
2002,3,74.73,74.79
2002,4,74.84,74.98
2002,5,75.1,75.22
2002,6,75.32,75.33
2002,7,75.32,75.19
2002,8,75.08,74.91
2002,9,74.76,74.65
2002,10,74.58,74.49
2002,11,74.4,74.36
2002,12,74.34,74.32
2003,1,74.33,74.33
2003,2,74.3,74.29
2003,3,74.29,74.35
2003,4,74.55,74.73
2003,5,74.81,74.95
2003,6,75.08,75.12
2003,7,75.1,75.05
2003,8,75.02,74.99
2003,9,74.87,74.75
2003,10,74.69,74.63
2003,11,74.62,74.64
2003,12,74.7,74.73
2004,1,74.79,74.83
2004,2,74.82,74.75
2004,3,74.66,74.72
2004,4,74.78,74.89
2004,5,74.96,75.04
2004,6,75.14,75.14
2004,7,75.11,75.09
2004,8,75.12,75.02
2004,9,74.94,74.95
2004,10,74.86,74.7
2004,11,74.56,74.5
2004,12,74.48,74.55
2005,1,74.6,74.74
2005,2,74.82,74.85
2005,3,74.88,74.84
2005,4,74.83,75.03
2005,5,75.13,75.11
2005,6,75.05,75.02
2005,7,74.99,74.94
2005,8,74.88,74.79
2005,9,74.76,74.69
2005,10,74.64,74.6
2005,11,74.57,74.58
2005,12,74.6,74.55
2006,1,74.54,74.63
2006,2,74.78,74.86
2006,3,74.86,74.82
2006,4,74.81,74.83
2006,5,74.84,74.84
2006,6,74.88,74.89
2006,7,74.92,74.98
2006,8,75.03,74.95
2006,9,74.84,74.81
2006,10,74.76,74.74
2006,11,74.8,74.79
2006,12,74.8,74.83
2007,1,74.86,74.98
2007,2,75.04,74.97
2007,3,74.88,74.85
2007,4,74.92,75.01
2007,5,75.08,75.05
2007,6,75.02,74.98
2007,7,74.91,74.86
2007,8,74.81,74.71
2007,9,74.62,74.56
2007,10,74.49,74.42
2007,11,74.36,74.31
2007,12,74.28,74.32
2008,1,74.44,74.56
2008,2,74.64,74.75
2008,3,74.8,74.87
2008,4,74.96,75.18
2008,5,75.32,75.3
2008,6,75.23,75.19
2008,7,75.16,75.12
2008,8,75.14,75.06
2008,9,74.94,74.81
2008,10,74.7,74.6
2008,11,74.54,74.51
2008,12,74.52,74.55
2009,1,74.7,74.76
2009,2,74.78,74.82
2009,3,74.86,74.92
2009,4,74.98,75.12
2009,5,75.18,75.19
2009,6,75.21,75.16
2009,7,75.15,75.12
2009,8,75.1,75.03
2009,9,74.94,74.78
2009,10,74.66,74.6
2009,11,74.56,74.5
2009,12,74.47,74.48
2010,1,74.5,74.51
2010,2,74.57,74.54
2010,3,74.52,74.55
2010,4,74.64,74.66
2010,5,74.65,74.71
2010,6,74.74,74.85
2010,7,74.96,74.97
2010,8,74.98,74.9
2010,9,74.82,74.72
2010,10,74.64,74.61
2010,11,74.56,74.5
2010,12,74.5,74.52
2011,1,74.48,74.49
2011,2,74.46,74.41
2011,3,74.41,74.61
2011,4,74.74,74.85
2011,5,75.05,75.23
2011,6,75.38,75.33
2011,7,75.26,75.14
2011,8,75.03,74.94
2011,9,74.86,74.76
2011,10,74.7,74.66
2011,11,74.65,74.58
2011,12,74.58,74.62
2012,1,74.7,74.8
2012,2,74.96,74.99
2012,3,74.98,74.97
2012,4,74.97,74.92
2012,5,74.9,74.91
2012,6,74.9,74.9
2012,7,74.86,74.79
2012,8,74.72,74.65
2012,9,74.54,74.5
2012,10,74.4,74.34
2012,11,74.32,74.29
2012,12,74.24,74.28
2013,1,74.33,74.38
2013,2,74.46,74.52
2013,3,74.56,74.57
2013,4,74.6,74.72
2013,5,74.85,74.88
2013,6,74.94,75.1
2013,7,75.16,75.14
2013,8,75.08,74.99
2013,9,74.9,74.79
2013,10,74.68,74.64
2013,11,74.63,74.6
2013,12,74.56,74.53
2014,1,74.6,74.64
2014,2,74.64,74.61
2014,3,74.58,74.55
2014,4,74.56,74.83
2014,5,75.06,75.14
2014,6,75.18,75.17
2014,7,75.16,75.09
2014,8,75.03,74.96
2014,9,74.88,74.78
2014,10,74.66,74.59
2014,11,74.53,74.46
2014,12,74.44,74.46
2015,1,74.5,74.56
2015,2,74.55,74.5
2015,3,74.42,74.41
2015,4,74.44,74.62
2015,5,74.77,74.81
2015,6,74.87,75.02
2015,7,75.2,75.21
2015,8,75.17,75.11
2015,9,75,74.91
2015,10,74.8,74.67
2015,11,74.61,74.56
2015,12,74.5,74.47
2016,1,74.53,74.63
2016,2,74.72,74.82
2016,3,74.92,74.97
2016,4,75.04,75.11
2016,5,75.12,75.09
2016,6,75.04,75.02
2016,7,74.99,74.95
2016,8,74.89,74.84
2016,9,74.8,74.7
2016,10,74.6,74.54
2016,11,74.51,74.48
2016,12,74.46,74.46
2017,1,74.49,74.62
2017,2,74.75,74.82
2017,3,74.92,75
2017,4,75.08,75.35
2017,5,75.52,75.8
2017,6,75.87,75.81
2017,7,75.78,75.69
2017,8,75.58,75.43
2017,9,75.23,75.08
2017,10,74.94,74.86
2017,11,74.82,74.87
2017,12,74.84,74.77
2018,1,74.76,74.83
2018,2,74.92,74.9
2018,3,74.96,74.93
2018,4,74.89,75.01
2018,5,75.16,75.26
2018,6,75.26,75.22
2018,7,75.16,75.06
2018,8,74.98,74.91
2018,9,74.84,74.74
2018,10,74.66,74.62
2018,11,74.58,74.62
2018,12,74.67,74.71
2019,1,74.78,74.83
2019,2,74.89,74.97
2019,3,75,74.97
2019,4,75.02,75.15
2019,5,75.41,75.7
2019,6,75.89,75.91
2019,7,75.9,75.8
2019,8,75.7,75.53
2019,9,75.36,75.24
2019,10,75.12,75.04
2019,11,75.04,75.04
2019,12,75,75
2020,1,75.02,75.05
2020,2,75.15,75.12
2020,3,75.1,75.18
2020,4,75.24,75.32
2020,5,75.37,75.36
2020,6,75.34,75.29
2020,7,75.22,75.18
2020,8,75.12,75.05
2020,9,74.98,74.85
2020,10,74.76,74.7
2020,11,74.64,74.6
2020,12,74.6,74.62
2021,1,74.66,74.62
2021,2,74.58,74.53
2021,3,74.5,74.49
2021,4,74.56,74.62
2021,5,74.68,74.72
2021,6,74.7,74.71
2021,7,74.72,74.81
2021,8,74.87,74.85
2021,9,74.83,74.79
2021,10,74.76,74.78
2021,11,74.84,74.86
2021,12,74.86,74.87
2022,1,74.88,74.86
2022,2,74.88,74.88
2022,3,74.94,74.99
2022,4,75.08,75.13
2022,5,75.19,75.17
2022,6,75.15,75.13
2022,7,75.04,74.95
2022,8,74.86,74.74
2022,9,74.66,74.55
2022,10,74.48,74.41
2022,11,74.38,74.4
2022,12,74.44,74.47
2023,1,74.53,74.65
2023,2,74.72,74.76
2023,3,74.83,74.88
2023,4,74.98,75.13
2023,5,75.26,75.36
2023,6,75.3,75.24
2023,7,75.2,75.14
2023,8,75.1,75.06
2023,9,74.99,74.88
2023,10,74.75,74.66
2023,11,74.57,74.49
2023,12,74.43,74.49
2024,1,74.54,74.6
2024,2,74.7,74.7
2024,3,74.7,NA
2024,4,NA,NA
2024,5,NA,NA
2024,6,NA,NA
2024,7,NA,NA
2024,8,NA,NA
2024,9,NA,NA
2024,10,NA,NA
2024,11,NA,NA
2024,12,NA,NA
