,Superior,MI-Huron,Erie,Ontario,St. Clair
Monthly,0.941666666666667,0.783333333333333,0.941666666666667,0.758333333333333,0.658333333333333
1-Year,0.981651376146789,0.990825688073395,1,1,1
5-Year,0.967213114754098,0.983606557377049,0.934426229508197,1,1
