# Connecting Channels Monthly Flow
# Units = cms
#IGS Data Source: H:\SHARE\H&H\GL_H&HData & Reports\WaterBudgetTracking\L2SWBM\Daily\IGSdaily.csv
#Stage Fall Discharge Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
#Coordinated Data Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
# Created by Heather Lucier
# Last modified 2018-12-17 14:08:14 by jkp
#
"Year","Month","St.Marys (IGS)","St.Clair (IGS)","Detroit (IGS)","St. Marys (Flow Accounting)","St. Clair (SFD+ADVM)","Detroit (SFD+ADVM)","Niagara+Welland(SFD+ADVM)","St.Lawrence(SFD+ADVM)","St. Marys (Coordinated)","St. Clair (Coordinated)","Detroit (Coordinated)","Niagara+Welland (Coordinated)","St.Lawrence (Coordinated)"
1957,5,NA,NA,NA,1470,4930,5130,6158,6940,1470,4930,5130,6158,6940
1957,6,NA,NA,NA,1530,5040,5130,6128,6990,1530,5040,5130,6128,6990
1957,7,NA,NA,NA,1530,5150,5380,6245,7020,1530,5150,5380,6245,7020
1957,8,NA,NA,NA,1810,5100,5240,5955,6850,1810,5100,5240,5955,6850
1957,9,NA,NA,NA,1900,5100,5300,5881,6630,1900,5100,5300,5881,6630
1957,10,NA,NA,NA,1900,4980,5100,5564,6340,1900,4980,5100,5564,6340
1957,11,NA,NA,NA,1870,4980,5100,5722,6170,1870,4980,5100,5722,6170
1957,12,NA,NA,NA,1840,4900,5040,5647,6060,1840,4900,5040,5647,6060
1958,1,NA,NA,NA,2010,3990,4020,5557,6200,2010,3990,4020,5557,6200
1958,2,NA,NA,NA,2010,3740,3740,5161,6000,2010,3740,3740,5161,6000
1958,3,NA,NA,NA,1950,4640,4810,5181,6030,1950,4640,4810,5181,6030
1958,4,NA,NA,NA,1730,4640,4450,5231,6510,1730,4640,4450,5231,6510
1958,5,NA,NA,NA,1760,4980,5040,5368,6480,1760,4980,5040,5368,6480
1958,6,NA,NA,NA,1760,4870,4960,5407,6510,1760,4870,4960,5407,6510
1958,7,NA,NA,NA,1610,4870,4980,5482,6430,1610,4870,4980,5482,6430
1958,8,NA,NA,NA,1590,4840,4930,5477,6310,1590,4840,4930,5477,6310
1958,9,NA,NA,NA,1610,4790,4900,5391,6200,1610,4790,4900,5391,6200
1958,10,NA,NA,NA,1870,4700,4810,5216,6090,1870,4700,4810,5216,6090
1958,11,NA,NA,NA,1950,4670,4670,5237,5860,1950,4670,4670,5237,5860
1958,12,NA,NA,NA,1870,4360,4590,5046,5920,1870,4360,4590,5046,5920
1959,1,NA,NA,NA,1870,3340,3450,4826,5040,1870,3340,3450,4826,5040
1959,2,NA,NA,NA,1900,3620,3740,4986,5380,1900,3620,3740,4986,5380
1959,3,NA,NA,NA,1840,4280,4620,5297,5750,1840,4280,4620,5297,5750
1959,4,NA,NA,NA,1980,4390,4700,5507,6990,1980,4390,4700,5507,6990
1959,5,NA,NA,NA,1980,4700,4840,5778,7450,1980,4700,4840,5778,7450
1959,6,NA,NA,NA,1950,4840,4870,5781,7450,1950,4840,4870,5781,7450
1959,7,NA,NA,NA,1900,4870,4930,5496,7140,1900,4870,4930,5496,7140
1959,8,NA,NA,NA,1950,4900,4960,5360,6540,1950,4900,4960,5360,6540
1959,9,NA,NA,NA,2120,4930,4960,5161,6200,2120,4930,4960,5161,6200
1959,10,NA,NA,NA,3170,4900,5040,5280,5920,3170,4900,5040,5280,5920
1959,11,NA,NA,NA,3340,4960,5100,5422,5950,3340,4960,5100,5422,5950
1959,12,NA,NA,NA,2520,4900,5150,5378,6060,2520,4900,5150,5378,6060
1960,1,NA,NA,NA,2100,4640,5040,5651,6030,2100,4640,5040,5651,6030
1960,2,NA,NA,NA,2040,4190,4300,5588,6140,2040,4190,4300,5588,6140
1960,3,NA,NA,NA,1950,4670,4730,5356,6430,1950,4670,4730,5356,6430
1960,4,NA,NA,NA,1870,4900,5440,5663,6990,1870,4900,5440,5663,6990
1960,5,NA,NA,NA,1930,5380,5490,6113,7620,1930,5380,5490,6113,7620
1960,6,NA,NA,NA,3140,5550,5720,6217,8210,3140,5550,5720,6217,8210
1960,7,NA,NA,NA,3260,5780,5780,6117,7790,3260,5780,5780,6117,7790
1960,8,NA,NA,NA,2970,5800,5830,5960,7420,2970,5800,5830,5960,7420
1960,9,NA,NA,NA,2920,5780,5800,5925,6630,2920,5780,5800,5925,6630
1960,10,NA,NA,NA,2610,5720,5780,5777,5780,2610,5720,5780,5777,5780
1960,11,NA,NA,NA,2070,5610,5660,5884,5860,2070,5610,5660,5884,5860
1960,12,NA,NA,NA,1930,5300,5320,5650,5950,1930,5300,5320,5650,5950
1961,1,NA,NA,NA,1900,4930,5010,5397,5970,1900,4930,5010,5397,5970
1961,2,NA,NA,NA,1900,5100,5180,5450,6030,1900,5100,5180,5450,6030
1961,3,NA,NA,NA,1870,5180,5380,5672,5920,1870,5180,5380,5672,5920
1961,4,NA,NA,NA,1870,5150,5380,6189,6200,1870,5150,5380,6189,6200
1961,5,NA,NA,NA,1930,5150,5350,6715,7080,1930,5150,5350,6715,7080
1961,6,NA,NA,NA,1950,5210,5320,6553,7900,1950,5210,5320,6553,7900
1961,7,NA,NA,NA,1840,5300,5380,6330,7560,1840,5300,5380,6330,7560
1961,8,NA,NA,NA,1610,5300,5410,6232,7160,1610,5300,5410,6232,7160
1961,9,NA,NA,NA,1610,5300,5380,6167,6990,1610,5300,5380,6167,6990
1961,10,NA,NA,NA,1640,5350,5410,5868,6540,1640,5350,5410,5868,6540
1961,11,NA,NA,NA,1840,5320,5380,5704,6120,1840,5320,5380,5704,6120
1961,12,NA,NA,NA,1840,5150,5210,5775,6060,1840,5150,5210,5775,6060
1962,1,NA,NA,NA,1810,4330,4530,5287,5970,1810,4330,4530,5287,5970
1962,2,NA,NA,NA,1840,4160,4130,5141,5920,1840,4160,4130,5141,5920
1962,3,NA,NA,NA,1810,4900,5180,5480,5780,1810,4900,5180,5480,5780
1962,4,NA,NA,NA,1780,5130,5240,5634,5410,1780,5130,5240,5634,5410
1962,5,NA,NA,NA,1700,5300,5320,5844,5580,1700,5300,5320,5844,5580
1962,6,NA,NA,NA,1700,5320,5380,5661,6030,1700,5320,5380,5661,6030
1962,7,NA,NA,NA,1780,5320,5350,5565,6060,1780,5320,5350,5565,6060
1962,8,NA,NA,NA,1700,5240,5300,5491,6140,1700,5240,5300,5491,6140
1962,9,NA,NA,NA,1590,5270,5300,5435,6120,1590,5270,5300,5435,6120
1962,10,NA,NA,NA,1810,5100,5150,5411,5970,1810,5100,5150,5411,5970
1962,11,NA,NA,NA,1930,4930,5040,5197,5890,1930,4930,5040,5197,5890
1962,12,NA,NA,NA,1840,4640,4670,5487,5970,1840,4640,4670,5487,5970
1963,1,NA,NA,NA,1760,4020,4190,5007,5950,1760,4020,4190,5007,5950
1963,2,NA,NA,NA,1840,3740,3740,4737,5890,1840,3740,3740,4737,5890
1963,3,NA,NA,NA,1700,4300,4500,5240,5580,1700,4300,4500,5240,5580
1963,4,NA,NA,NA,1610,4590,4810,5345,5380,1610,4590,4810,5345,5380
1963,5,NA,NA,NA,1730,4760,4840,5584,5320,1730,4760,4840,5584,5320
1963,6,NA,NA,NA,1730,4840,4930,5641,5830,1730,4840,4930,5641,5830
1963,7,NA,NA,NA,1780,4870,4930,5334,6060,1780,4870,4930,5334,6060
1963,8,NA,NA,NA,1760,4900,4930,5257,6140,1760,4900,4930,5257,6140
1963,9,NA,NA,NA,2040,4810,4840,4891,6000,2040,4810,4840,4891,6000
1963,10,NA,NA,NA,1810,4760,4790,4701,6000,1810,4760,4790,4701,6000
1963,11,NA,NA,NA,1870,4700,4700,4900,5800,1870,4700,4700,4900,5800
1963,12,NA,NA,NA,1590,4420,4530,4900,5950,1590,4420,4530,4900,5950
1964,1,NA,NA,NA,1670,3770,3960,4226,5970,1670,3770,3960,4226,5970
1964,2,NA,NA,NA,1930,3600,3680,4241,5830,1930,3600,3680,4241,5830
1964,3,NA,NA,NA,1930,4130,4250,4846,5470,1930,4130,4250,4846,5470
1964,4,NA,NA,NA,1930,4160,4330,5144,5070,1930,4160,4330,5144,5070
1964,5,NA,NA,NA,1980,4390,4500,5510,5210,1980,4390,4500,5510,5210
1964,6,NA,NA,NA,2040,4420,4500,5355,5550,2040,4420,4500,5355,5550
1964,7,NA,NA,NA,2290,4500,4560,5123,5690,2290,4500,4560,5123,5690
1964,8,NA,NA,NA,2830,4530,4620,5023,5860,2830,4530,4620,5023,5860
1964,9,NA,NA,NA,3030,4560,4620,4869,5860,3030,4560,4620,4869,5860
1964,10,NA,NA,NA,3140,4560,4590,4723,5800,3140,4560,4590,4723,5800
1964,11,NA,NA,NA,3280,4500,4560,4586,5660,3280,4500,4560,4586,5660
1964,12,NA,NA,NA,2630,4360,4420,4540,5470,2630,4360,4420,4540,5470
1965,1,NA,NA,NA,2440,3710,3960,4654,5180,2440,3710,3960,4654,5180
1965,2,NA,NA,NA,2380,3770,4080,4860,5150,2380,3770,4080,4860,5150
1965,3,NA,NA,NA,2350,4080,4330,5065,5100,2350,4080,4330,5065,5100
1965,4,NA,NA,NA,2320,4390,4760,5125,5210,2320,4390,4760,5125,5210
1965,5,NA,NA,NA,2660,4700,4760,5441,4980,2660,4700,4760,5441,4980
1965,6,NA,NA,NA,2800,4810,4840,5532,5350,2800,4810,4840,5532,5350
1965,7,NA,NA,NA,3200,4870,4930,5327,5690,3200,4870,4930,5327,5690
1965,8,NA,NA,NA,3230,4930,4960,5217,5830,3230,4930,4960,5217,5830
1965,9,NA,NA,NA,3060,4960,5010,5154,5750,3060,4960,5010,5154,5750
1965,10,NA,NA,NA,2890,5100,5150,5287,5750,2890,5100,5150,5287,5750
1965,11,NA,NA,NA,2890,5040,5130,5315,5950,2890,5040,5130,5315,5950
1965,12,NA,NA,NA,2410,4930,5130,5238,6430,2410,4930,5130,5238,6430
1966,1,NA,NA,NA,2180,4840,4980,5263,6290,2180,4840,4980,5263,6290
1966,2,NA,NA,NA,2180,4590,4760,5348,6290,2180,4590,4760,5348,6290
1966,3,NA,NA,NA,2180,4810,5010,5515,6630,2180,4810,5010,5515,6630
1966,4,NA,NA,NA,2290,5010,5180,5559,6630,2290,5010,5180,5559,6630
1966,5,NA,NA,NA,2270,5150,5240,5974,6000,2270,5150,5240,5974,6000
1966,6,NA,NA,NA,2240,5150,5240,5941,6000,2240,5150,5240,5941,6000
1966,7,NA,NA,NA,2720,5210,5270,5811,6200,2720,5210,5270,5811,6200
1966,8,NA,NA,NA,2720,5130,5210,5741,6230,2720,5130,5210,5741,6230
1966,9,NA,NA,NA,2940,5100,5180,5532,6260,2940,5100,5180,5532,6260
1966,10,NA,NA,NA,2550,5010,5040,5383,6120,2550,5010,5040,5383,6120
1966,11,NA,NA,NA,2270,4870,5010,5327,6000,2270,4870,5010,5327,6000
1966,12,NA,NA,NA,2120,4840,5130,5732,6140,2120,4840,5130,5732,6140
1967,1,NA,NA,NA,2010,4730,4870,5691,6200,2010,4730,4870,5691,6200
1967,2,NA,NA,NA,2040,4420,4590,5551,6460,2040,4420,4590,5551,6460
1967,3,NA,NA,NA,2010,4730,5010,5441,6090,2010,4730,5010,5441,6090
1967,4,NA,NA,NA,2010,4980,5380,5932,6000,2010,4980,5380,5932,6000
1967,5,NA,NA,NA,2410,5180,5240,6165,6200,2410,5180,5240,6165,6200
1967,6,NA,NA,NA,2550,5270,5410,5944,6170,2550,5270,5410,5944,6170
1967,7,NA,NA,NA,2550,5440,5580,5968,6400,2550,5440,5580,5968,6400
1967,8,NA,NA,NA,2610,5440,5520,5842,6600,2610,5440,5520,5842,6600
1967,9,NA,NA,NA,2460,5380,5440,5699,6570,2460,5380,5440,5699,6570
1967,10,NA,NA,NA,2010,5210,5410,5869,7050,2010,5210,5410,5869,7050
1967,11,NA,NA,NA,2040,5320,5490,6005,7840,2040,5320,5490,6005,7840
1967,12,NA,NA,NA,1980,5100,5440,5955,7960,1980,5100,5440,5955,7960
1968,1,NA,NA,NA,1950,4620,4760,5765,6820,1950,4620,4760,5765,6820
1968,2,NA,NA,NA,1950,4640,5150,6343,7050,1950,4640,5150,6343,7050
1968,3,NA,NA,NA,1900,4980,5270,6048,6710,1900,4980,5270,6048,6710
1968,4,NA,NA,NA,1950,5040,5240,6202,7420,1950,5040,5240,6202,7420
1968,5,NA,NA,NA,1980,5180,5270,6326,6970,1980,5180,5270,6326,6970
1968,6,NA,NA,NA,1980,5270,5440,6399,6710,1980,5270,5440,6399,6710
1968,7,NA,NA,NA,2830,5440,5550,6397,7160,2830,5440,5550,6397,7160
1968,8,NA,NA,NA,3450,5550,5640,6259,7420,3450,5550,5640,6259,7420
1968,9,NA,NA,NA,3480,5580,5610,6199,7650,3480,5580,5610,6199,7650
1968,10,NA,NA,NA,3510,5610,5660,6095,7420,3510,5610,5660,6095,7420
1968,11,NA,NA,NA,3480,5580,5610,6001,7190,3480,5580,5610,6001,7190
1968,12,NA,NA,NA,2970,5350,5580,6237,7110,2970,5350,5580,6237,7110
1969,1,NA,NA,NA,2350,4640,4840,5944,6650,2350,4640,4840,5944,6650
1969,2,NA,NA,NA,2610,5130,5490,6190,7160,2610,5130,5490,6190,7160
1969,3,NA,NA,NA,2690,5270,5440,6132,7220,2690,5270,5440,6132,7220
1969,4,NA,NA,NA,2920,5380,5660,6402,7480,2920,5380,5660,6402,7480
1969,5,NA,NA,NA,3260,5550,5720,7005,7820,3260,5550,5720,7005,7820
1969,6,NA,NA,NA,3280,5720,5830,7027,8240,3280,5720,5830,7027,8240
1969,7,NA,NA,NA,3280,5890,5950,6925,8410,3280,5890,5950,6925,8410
1969,8,NA,NA,NA,3310,6000,6030,6885,8350,3310,6000,6030,6885,8350
1969,9,NA,NA,NA,2970,5950,5950,6665,7840,2970,5950,5950,6665,7840
1969,10,NA,NA,NA,1950,5860,5890,6498,7220,1950,5860,5890,6498,7220
1969,11,NA,NA,NA,1900,5830,5950,6448,7020,1900,5830,5950,6448,7020
1969,12,NA,NA,NA,1930,5520,5720,6291,6880,1930,5520,5720,6291,6880
1970,1,NA,NA,NA,1930,4250,4220,5884,6460,1930,4250,4220,5884,6460
1970,2,NA,NA,NA,2350,4700,4810,5944,6650,2350,4700,4810,5944,6650
1970,3,NA,NA,NA,1980,5410,5550,5974,6650,1980,5410,5550,5974,6650
1970,4,NA,NA,NA,1810,5440,5690,6297,6680,1810,5440,5690,6297,6680
1970,5,NA,NA,NA,1810,5640,5690,6566,7050,1810,5640,5690,6566,7050
1970,6,NA,NA,NA,1840,5780,5800,6498,7050,1840,5780,5800,6498,7050
1970,7,NA,NA,NA,1840,5830,5890,6484,7250,1840,5830,5890,6484,7250
1970,8,NA,NA,NA,2720,5860,5860,6294,7500,2720,5860,5860,6294,7500
1970,9,NA,NA,NA,2240,5860,5860,6317,7310,2240,5860,5860,6317,7310
1970,10,NA,NA,NA,1840,5780,5830,6196,7450,1840,5780,5830,6196,7450
1970,11,NA,NA,NA,2440,5780,5860,6366,7500,2440,5780,5860,6366,7500
1970,12,NA,NA,NA,2860,5660,5800,6358,7330,2860,5660,5800,6358,7330
1971,1,NA,NA,NA,2630,5210,5380,6321,6680,2630,5210,5380,6321,6680
1971,2,NA,NA,NA,2350,4980,5100,6113,7020,2350,4980,5100,6113,7020
1971,3,NA,NA,NA,2380,5550,5890,6314,7450,2380,5550,5890,6314,7450
1971,4,NA,NA,NA,2690,5800,5950,6317,7670,2690,5800,5950,6317,7670
1971,5,NA,NA,NA,3060,5970,5920,6462,8070,3060,5970,5920,6462,8070
1971,6,NA,NA,NA,3200,6060,6060,6705,7730,3200,6060,6060,6705,7730
1971,7,NA,NA,NA,3230,6170,6120,6435,7390,3230,6170,6120,6435,7390
1971,8,NA,NA,NA,3000,6170,6140,6342,7330,3000,6170,6140,6342,7330
1971,9,NA,NA,NA,3060,6090,6120,6302,7450,3060,6090,6120,6302,7450
1971,10,NA,NA,NA,3200,6000,6030,6275,7330,3200,6000,6030,6275,7330
1971,11,NA,NA,NA,3170,5950,5950,6215,6990,3170,5950,5950,6215,6990
1971,12,NA,NA,NA,2800,5750,5860,6294,6650,2800,5750,5860,6294,6650
1972,1,NA,NA,NA,2290,5610,5720,6411,6290,2290,5610,5720,6411,6290
1972,2,NA,NA,NA,2070,5320,5440,6118,6540,2070,5320,5440,6118,6540
1972,3,NA,NA,NA,2120,5440,5750,6480,7190,2120,5440,5750,6480,7190
1972,4,NA,NA,NA,2120,5490,5780,6624,7730,2120,5490,5780,6624,7730
1972,5,NA,NA,NA,3140,5890,5920,6984,8240,3140,5890,5920,6984,8240
1972,6,NA,NA,NA,3280,6060,6060,7036,8500,3280,6060,6060,7036,8500
1972,7,NA,NA,NA,3230,6060,6120,7061,8780,3230,6060,6120,7061,8780
1972,8,NA,NA,NA,3200,6170,6230,6912,8780,3200,6170,6230,6912,8780
1972,9,NA,NA,NA,3260,6290,6290,6769,8780,3260,6290,6290,6769,8780
1972,10,NA,NA,NA,3140,6260,6290,6858,8550,3140,6260,6290,6858,8550
1972,11,NA,NA,NA,3280,6120,6310,7028,8300,3280,6120,6310,7028,8300
1972,12,NA,NA,NA,2440,5950,6170,7261,7650,2440,5950,6170,7261,7650
1973,1,NA,NA,NA,2120,5860,6140,7058,7140,2120,5860,6140,7058,7140
1973,2,NA,NA,NA,1610,5490,5660,6815,7900,1610,5490,5660,6815,7900
1973,3,NA,NA,NA,1500,5690,6310,7420,8470,1500,5690,6310,7420,8470
1973,4,NA,NA,NA,1560,6060,6260,7815,9200,1560,6060,6260,7815,9200
1973,5,NA,NA,NA,1560,6260,6340,7799,9540,1560,6260,6340,7799,9540
1973,6,NA,NA,NA,1590,6370,6460,7802,9910,1590,6370,6460,7802,9910
1973,7,NA,NA,NA,2270,6460,6510,7712,9910,2270,6460,6510,7712,9910
1973,8,NA,NA,NA,2750,6510,6540,7438,9150,2750,6510,6540,7438,9150
1973,9,NA,NA,NA,3340,6460,6480,7152,8980,3340,6460,6480,7152,8980
1973,10,NA,NA,NA,2630,6370,6430,6952,8670,2630,6370,6430,6952,8670
1973,11,NA,NA,NA,2380,6290,6400,6998,8330,2380,6290,6400,6998,8330
1973,12,NA,NA,NA,2410,6060,6260,6926,7530,2410,6060,6260,6926,7530
1974,1,NA,NA,NA,2150,5660,6090,6920,6800,2150,5660,6090,6920,6800
1974,2,NA,NA,NA,2120,5720,6060,7030,7500,2120,5720,6060,7030,7500
1974,3,NA,NA,NA,2120,5830,6230,7381,8550,2120,5830,6230,7381,8550
1974,4,NA,NA,NA,2120,5950,6230,7804,8780,2120,5950,6230,7804,8780
1974,5,NA,NA,NA,2070,6200,6400,7865,8720,2070,6200,6400,7865,8720
1974,6,NA,NA,NA,2410,6430,6460,7681,9260,2410,6430,6460,7681,9260
1974,7,NA,NA,NA,2150,6570,6600,7418,9510,2150,6570,6600,7418,9510
1974,8,NA,NA,NA,2120,6480,6510,7126,9340,2120,6480,6510,7126,9340
1974,9,NA,NA,NA,2100,6400,6430,6928,8890,2100,6400,6430,6928,8890
1974,10,NA,NA,NA,2070,6230,6290,6721,8580,2070,6230,6290,6721,8580
1974,11,NA,NA,NA,2380,6170,6200,6781,7840,2380,6170,6200,6781,7840
1974,12,NA,NA,NA,2750,5950,6060,6869,7990,2750,5950,6060,6869,7990
1975,1,NA,NA,NA,2460,5690,5920,7085,7250,2460,5690,5920,7085,7250
1975,2,NA,NA,NA,2410,5550,5860,6989,7080,2410,5550,5860,6989,7080
1975,3,NA,NA,NA,2440,5440,5800,6987,8180,2440,5440,5800,6987,8180
1975,4,NA,NA,NA,2610,5830,6140,7302,8520,2610,5830,6140,7302,8520
1975,5,NA,NA,NA,2780,6120,6140,7274,8670,2780,6120,6140,7274,8670
1975,6,NA,NA,NA,2520,6230,6290,7295,8720,2520,6230,6290,7295,8720
1975,7,NA,NA,NA,2380,6310,6310,7111,8210,2380,6310,6310,7111,8210
1975,8,NA,NA,NA,2290,6230,6310,6975,8010,2290,6230,6310,6975,8010
1975,9,NA,NA,NA,2100,6170,6340,7162,7960,2100,6170,6340,7162,7960
1975,10,NA,NA,NA,1870,6000,6120,6941,8180,1870,6000,6120,6941,8180
1975,11,NA,NA,NA,1930,5860,5970,6943,8130,1930,5860,5970,6943,8130
1975,12,NA,NA,NA,1980,5800,5920,6795,7450,1980,5800,5920,6795,7450
1976,1,NA,NA,NA,1980,4730,4900,6658,6990,1980,4730,4900,6658,6990
1976,2,NA,NA,NA,1950,4980,5380,6828,7390,1950,4980,5380,6828,7390
1976,3,NA,NA,NA,1950,5490,6090,7406,8210,1950,5490,6090,7406,8210
1976,4,NA,NA,NA,2040,6000,6170,7623,8670,2040,6000,6170,7623,8670
1976,5,NA,NA,NA,2380,6230,6400,7651,9290,2380,6230,6400,7651,9290
1976,6,NA,NA,NA,2320,6290,6310,7341,9850,2320,6290,6310,7341,9850
1976,7,NA,NA,NA,2270,6310,6460,7346,9910,2270,6310,6460,7346,9910
1976,8,NA,NA,NA,2040,6230,6340,7059,9230,2040,6230,6340,7059,9230
1976,9,NA,NA,NA,1930,6060,6120,7009,8750,1930,6060,6120,7009,8750
1976,10,NA,NA,NA,1810,5890,5970,6845,8550,1810,5890,5970,6845,8550
1976,11,NA,NA,NA,1610,5690,5800,6698,8410,1610,5690,5800,6698,8410
1976,12,NA,NA,NA,1700,5150,5240,6229,6770,1700,5150,5240,6229,6770
1977,1,NA,NA,NA,1730,4190,4810,5828,6290,1730,4190,4810,5828,6290
1977,2,NA,NA,NA,1730,4670,5100,5742,6090,1730,4670,5100,5742,6090
1977,3,NA,NA,NA,1730,5150,5750,6099,6990,1730,5150,5750,6099,6990
1977,4,NA,NA,NA,1760,5320,5580,6448,7820,1760,5320,5580,6448,7820
1977,5,NA,NA,NA,1730,5350,5440,6836,7930,1730,5350,5440,6836,7930
1977,6,NA,NA,NA,1760,5410,5470,6686,7450,1760,5410,5470,6686,7450
1977,7,NA,NA,NA,1530,5410,5490,6558,7080,1530,5410,5490,6558,7080
1977,8,NA,NA,NA,1700,5440,5440,6619,7360,1700,5440,5440,6619,7360
1977,9,NA,NA,NA,1870,5320,5490,6666,7840,1870,5320,5490,6666,7840
1977,10,NA,NA,NA,2780,5320,5610,6559,8500,2780,5320,5610,6559,8500
1977,11,NA,NA,NA,3140,5440,5610,6473,8380,3140,5440,5610,6473,8380
1977,12,NA,NA,NA,2550,5150,5690,6742,7280,2550,5150,5690,6742,7280
1978,1,NA,NA,NA,2210,4810,5100,6237,7050,2210,4810,5100,6237,7050
1978,2,NA,NA,NA,2180,4700,5100,6222,8070,2180,4700,5100,6222,8070
1978,3,NA,NA,NA,2150,4900,5380,6406,8470,2150,4900,5380,6406,8470
1978,4,NA,NA,NA,2150,5070,5610,6882,8300,2150,5070,5610,6882,8300
1978,5,NA,NA,NA,2320,5270,5410,6975,8920,2320,5270,5410,6975,8920
1978,6,NA,NA,NA,2410,5440,5550,7049,8720,2410,5440,5550,7049,8720
1978,7,NA,NA,NA,2440,5610,5660,6654,8210,2440,5610,5660,6654,8210
1978,8,NA,NA,NA,2630,5640,5720,6588,7870,2630,5640,5720,6588,7870
1978,9,NA,NA,NA,2750,5660,5780,6362,7760,2750,5660,5780,6362,7760
1978,10,NA,NA,NA,2800,5780,5800,6359,7450,2800,5780,5800,6359,7450
1978,11,NA,NA,NA,2750,5660,5720,6151,7050,2750,5660,5720,6151,7050
1978,12,NA,NA,NA,2100,5440,5660,6311,6370,2100,5440,5660,6311,6370
1979,1,NA,NA,NA,1900,4500,4620,5987,6260,1900,4500,4620,5987,6260
1979,2,NA,NA,NA,1900,4730,4730,5939,7020,1900,4730,4730,5939,7020
1979,3,NA,NA,NA,1900,5320,5780,6209,7650,1900,5320,5780,6209,7650
1979,4,NA,NA,NA,1900,5550,6060,6666,8040,1900,5550,6060,6666,8040
1979,5,NA,NA,NA,2320,5950,6030,6955,8210,2320,5950,6030,6955,8210
1979,6,NA,NA,NA,2750,6000,6060,6982,8380,2750,6000,6060,6982,8380
1979,7,NA,NA,NA,3170,6120,6170,6826,7900,3170,6120,6170,6826,7900
1979,8,NA,NA,NA,3230,6200,6200,6900,7790,3230,6200,6200,6900,7790
1979,9,NA,NA,NA,3200,6120,6140,6809,8010,3200,6120,6140,6809,8010
1979,10,NA,NA,NA,2750,5970,6000,6842,8270,2750,5970,6000,6842,8270
1979,11,NA,NA,NA,2610,5890,6060,6732,8160,2610,5890,6060,6732,8160
1979,12,NA,NA,NA,2290,5800,6000,6813,8160,2290,5800,6000,6813,8160
1980,1,NA,NA,NA,2120,5690,5920,6868,7160,2120,5690,5920,6868,7160
1980,2,NA,NA,NA,2120,5580,5660,6498,7160,2120,5580,5660,6498,7160
1980,3,NA,NA,NA,2100,5490,5800,6664,7160,2100,5490,5800,6664,7160
1980,4,NA,NA,NA,2150,5610,5950,7182,7870,2150,5610,5950,7182,7870
1980,5,NA,NA,NA,2410,5780,5920,7259,8380,2410,5780,5920,7259,8380
1980,6,NA,NA,NA,2270,5890,6000,7256,8240,2270,5890,6000,7256,8240
1980,7,NA,NA,NA,2180,5950,6060,7086,8160,2180,5950,6060,7086,8160
1980,8,NA,NA,NA,2100,5920,6060,7176,8330,2100,5920,6060,7176,8330
1980,9,NA,NA,NA,2040,5920,6060,7089,8520,2040,5920,6060,7089,8520
1980,10,NA,NA,NA,2320,5920,6000,6892,8130,2320,5920,6000,6892,8130
1980,11,NA,NA,NA,2350,5830,5890,6523,7930,2350,5830,5890,6523,7930
1980,12,NA,NA,NA,1900,5660,5830,6399,7110,1900,5660,5830,6399,7110
1981,1,NA,NA,NA,1900,4670,4640,6018,6680,1900,4670,4640,6018,6680
1981,2,NA,NA,NA,1900,5210,5660,6111,6800,1900,5210,5660,6111,6800
1981,3,NA,NA,NA,1900,5580,5780,6265,7500,1900,5580,5780,6265,7500
1981,4,NA,NA,NA,2120,5610,5780,6355,7330,2120,5610,5780,6355,7330
1981,5,NA,NA,NA,2490,5780,5920,6741,7020,2490,5780,5920,6741,7020
1981,6,NA,NA,NA,2720,5780,5830,6962,7160,2720,5780,5830,6962,7160
1981,7,NA,NA,NA,2920,5830,5950,6812,7450,2920,5830,5950,6812,7450
1981,8,NA,NA,NA,2750,5800,5920,6843,7900,2750,5800,5920,6843,7900
1981,9,NA,NA,NA,2290,5860,6060,6863,8380,2290,5860,6060,6863,8380
1981,10,NA,NA,NA,1360,5660,6030,6779,8470,1360,5660,6030,6779,8470
1981,11,NA,NA,NA,1250,5660,5860,6708,8410,1250,5660,5860,6708,8410
1981,12,NA,NA,NA,1300,5550,5720,6583,8500,1300,5550,5720,6583,8500
1982,1,NA,NA,NA,1270,4620,4730,6484,6800,1270,4620,4730,6484,6800
1982,2,NA,NA,NA,1270,4590,4700,6127,7110,1270,4590,4700,6127,7110
1982,3,NA,NA,NA,1270,4960,5660,6611,7220,1270,4960,5660,6611,7220
1982,4,NA,NA,NA,1300,5180,5610,6807,7760,1300,5180,5610,6807,7760
1982,5,NA,NA,NA,1730,5490,5580,6921,8160,1730,5490,5580,6921,8160
1982,6,NA,NA,NA,2100,5520,5690,7139,8210,2100,5520,5690,7139,8210
1982,7,NA,NA,NA,2210,5580,5720,6689,8240,2210,5580,5720,6689,8240
1982,8,NA,NA,NA,2380,5720,5800,6622,7870,2380,5720,5800,6622,7870
1982,9,NA,NA,NA,2410,5720,5800,6366,7700,2410,5720,5800,6366,7700
1982,10,NA,NA,NA,2520,5640,5750,6262,7500,2520,5640,5750,6262,7500
