# St.Lawrence River Monthly Flow
# Units = cms
#Stage Fall Discharge Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
#Coordinated Data Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
# Created by Heather Lucier
# Last modified 2024-01-11 11:03:24 by JKP
#
"Year","Month","St.Lawrence(SFD+ADVM)","St.Lawrence (Coordinated)"
1993,6,10010,10010
1993,7,8990,8990
1993,8,8650,8650
1993,9,7870,7870
1993,10,7560,7560
1993,11,7270,7270
1993,12,7320,7320
1994,1,6450,6450
1994,2,7030,7030
1994,3,7090,7090
1994,4,7410,7410
1994,5,8020,8020
1994,6,8140,8140
1994,7,7880,7880
1994,8,7690,7690
1994,9,7660,7660
1994,10,7550,7550
1994,11,7400,7400
1994,12,7250,7250
1995,1,6520,6520
1995,2,6740,6740
1995,3,7480,7480
1995,4,7080,7080
1995,5,6460,6460
1995,6,6640,6640
1995,7,6660,6660
1995,8,6920,6920
1995,9,6890,6890
1995,10,6880,6880
1995,11,7570,7570
1995,12,7190,7190
1996,1,6510,6510
1996,2,7270,7270
1996,3,7550,7550
1996,4,7390,7390
1996,5,7740,7740
1996,6,8340,8340
1996,7,8460,8460
1996,8,8340,8340
1996,9,7960,7960
1996,10,8100,8100
1996,11,8350,8350
1996,12,8580,8580
1997,1,7250,7250
1997,2,8310,8310
1997,3,9130,9130
1997,4,8650,8650
1997,5,8530,8530
1997,6,9400,9400
1997,7,9020,9020
1997,8,8580,8580
1997,9,8400,8400
1997,10,8330,8330
1997,11,8010,8010
1997,12,8070,8070
1998,1,6830,6830
1998,2,8150,8150
1998,3,9490,9490
1998,4,8140,8140
1998,5,9640,9640
1998,6,8870,8870
1998,7,8750,8750
1998,8,8380,8380
1998,9,8050,8050
1998,10,7420,7420
1998,11,6690,6690
1998,12,6330,6330
1999,1,5890,5890
1999,2,6700,6700
1999,3,6850,6850
1999,4,6750,6750
1999,5,6350,6350
1999,6,6250,6250
1999,7,6220,6220
1999,8,6290,6290
1999,9,6250,6250
1999,10,6160,6160
1999,11,6010,6010
1999,12,5930,5930
2000,1,5940,5940
2000,2,5900,5900
2000,3,5820,5820
2000,4,5940,5940
2000,5,6770,6770
2000,6,7520,7520
2000,7,8220,8220
2000,8,7930,7930
2000,9,7500,7500
2000,10,6920,6920
2000,11,6400,6400
2000,12,6000,6000
2001,1,5940,5940
2001,2,6020,6020
2001,3,6420,6420
2001,4,6640,6640
2001,5,6730,6730
2001,6,6260,6260
2001,7,6320,6320
2001,8,6520,6520
2001,9,6400,6400
2001,10,6130,6130
2001,11,5900,5900
2001,12,6030,6030
2002,1,6120,6120
2002,2,5980,5980
2002,3,6930,6930
2002,4,7080,7080
2002,5,7590,7590
2002,6,8160,8160
2002,7,8170,8170
2002,8,7680,7680
2002,9,6830,6830
2002,10,6520,6520
2002,11,6380,6380
2002,12,6160,6160
2003,1,5910,5910
2003,2,5870,5870
2003,3,5580,5580
2003,4,5850,5850
2003,5,6280,6280
2003,6,7160,7160
2003,7,7120,7120
2003,8,7460,7460
2003,9,7060,7060
2003,10,6780,6780
2003,11,6840,6840
2003,12,6980,6980
2004,1,6490,6490
2004,2,7130,7130
2004,3,7160,7160
2004,4,7260,7260
2004,5,7230,7230
2004,6,7660,7660
2004,7,7590,7590
2004,8,7850,7850
2004,9,8010,8010
2004,10,7900,7900
2004,11,7190,7190
2004,12,7040,7040
2005,1,6270,6270
2005,2,7450,7450
2005,3,7760,7760
2005,4,7800,7800
2005,5,8010,8010
2005,6,7390,7390
2005,7,7110,7110
2005,8,6920,6920
2005,9,6850,6850
2005,10,6810,6810
2005,11,7130,7130
2005,12,7200,7200
2006,1,6230,6230
2006,2,6980,6980
2006,3,7650,7650
2006,4,7420,7420
2006,5,6810,6810
2006,6,6490,6490
2006,7,6760,6760
2006,8,7140,7140
2006,9,7190,7190
2006,10,7450,7450
2006,11,8120,8120
2006,12,7870,7870
2007,1,7010,7010
2007,2,7590,7590
2007,3,7940,7940
2007,4,7900,7900
2007,5,7910,7910
2007,6,7320,7320
2007,7,6970,6970
2007,8,6750,6750
2007,9,6500,6500
2007,10,6460,6460
2007,11,6370,6370
2007,12,5850,5850
2008,1,5990,5990
2008,2,6740,6740
2008,3,7370,7370
2008,4,7200,7200
2008,5,8420,8420
2008,6,8080,8080
2008,7,7720,7720
2008,8,7960,7960
2008,9,7680,7680
2008,10,7180,7180
2008,11,7000,7000
2008,12,6720,6720
2009,1,6340,NA
2009,2,7140,NA
2009,3,7730,NA
2009,4,7880,NA
2009,5,8170,NA
2009,6,8050,NA
2009,7,7860,NA
2009,8,8020,NA
2009,9,7720,NA
2009,10,7250,NA
2009,11,7130,NA
2009,12,7030,NA
2010,1,6250,NA
2010,2,6790,NA
2010,3,6910,NA
2010,4,6780,NA
2010,5,6350,NA
2010,6,6400,NA
2010,7,6740,NA
2010,8,7170,NA
2010,9,7120,NA
2010,10,6950,NA
2010,11,6950,NA
2010,12,7000,NA
2011,1,6160,NA
2011,2,6470,NA
2011,3,6850,NA
2011,4,7330,NA
2011,5,7790,NA
2011,6,8750,NA
2011,7,8400,NA
2011,8,7970,NA
2011,9,7530,NA
2011,10,7400,NA
2011,11,7600,NA
2011,12,7510,NA
2012,1,6520,NA
2012,2,7810,NA
2012,3,8050,NA
2012,4,7740,NA
2012,5,7250,NA
2012,6,6840,NA
2012,7,6600,NA
2012,8,6480,NA
2012,9,6490,NA
2012,10,6220,NA
2012,11,5890,NA
2012,12,5860,NA
2013,1,5970,NA
2013,2,6190,NA
2013,3,6460,NA
2013,4,6420,NA
2013,5,6420,NA
2013,6,6600,NA
2013,7,7480,NA
2013,8,7480,NA
2013,9,7260,NA
2013,10,6890,NA
2013,11,7290,NA
2013,12,6720,NA
2014,1,6322,NA
2014,2,6955,NA
2014,3,6935,NA
2014,4,6888,NA
2014,5,7835,NA
2014,6,8175,NA
2014,7,8322,NA
2014,8,8071,NA
2014,9,7860,NA
2014,10,7453,NA
2014,11,7210,NA
2014,12,6675,NA
2015,1,6285,NA
2015,2,6804,NA
2015,3,6460,NA
2015,4,6398,NA
2015,5,6587,NA
2015,6,6905,NA
2015,7,8253,NA
2015,8,8420,NA
2015,9,8511,NA
2015,10,7910,NA
2015,11,7820,NA
2015,12,6960,NA
2016,1,6120,NA
2016,2,7010,NA
2016,3,8060,NA
2016,4,8270,NA
2016,5,8440,NA
2016,6,7690,NA
2016,7,7440,NA
2016,8,7360,NA
2016,9,7350,NA
2016,10,6920,NA
2016,11,7000,NA
2016,12,6900,NA
2017,1,6440,NA
2017,2,6890,NA
2017,3,7400,NA
2017,4,7610,NA
2017,5,8560,NA
2017,6,10310,NA
2017,7,10400,NA
2017,8,9950,NA
2017,9,8920,NA
2017,10,8350,NA
2017,11,8500,NA
2017,12,8080,NA
2018,1,7150,NA
2018,2,8610,NA
2018,3,9040,NA
2018,4,8570,NA
2018,5,8450,NA
2018,6,9100,NA
2018,7,8810,NA
2018,8,8490,NA
2018,9,8100,NA
2018,10,7710,NA
2018,11,7970,NA
2018,12,8270,NA
2019,1,7290,NA
2019,2,8120,NA
2019,3,8690,NA
2019,4,7470,NA
2019,5,7600,NA
2019,6,10190,NA
2019,7,10400,NA
2019,8,10300,NA
2019,9,9580,NA
2019,10,8860,NA
2019,11,8860,NA
2019,12,8800,NA
2020,1,9210,NA
2020,2,9540,NA
2020,3,9520,NA
2020,4,8920,NA
2020,5,9680,NA
2020,6,9370,NA
2020,7,9030,NA
2020,8,8670,NA
2020,9,8500,NA
2020,10,8180,NA
2020,11,8120,NA
2020,12,8070,NA
2021,1,8820,NA
2021,2,7970,NA
2021,3,7800,NA
2021,4,7540,NA
2021,5,7990,NA
2021,6,7620,NA
2021,7,7820,NA
2021,8,8040,NA
2021,9,7930,NA
2021,10,7950,NA
2021,11,8380,NA
2021,12,8520,NA
2022,1,7430,NA
2022,2,8050,NA
2022,3,8500,NA
2022,4,8260,NA
2022,5,8760,NA
2022,6,8830,NA
2022,7,8630,NA
2022,8,8190,NA
2022,9,7620,NA
2022,10,6820,NA
2022,11,6620,NA
2022,12,7120,NA
2023,1,7460,NA
2023,2,7340,NA
2023,3,7980,NA
2023,4,7860,NA
2023,5,8100,NA
2023,6,8580,NA
2023,7,8390,NA
2023,8,8320,NA
2023,9,8040,NA
2023,10,7670,NA
2023,11,7430,NA
2023,12,7230,NA
2024,1,NA,NA
