# St.Lawrence River Monthly Flow
# Units = cms
#Stage Fall Discharge Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
#Coordinated Data Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
# Created by Heather Lucier
# Last modified 2024-01-11 11:03:24 by JKP
#
"Year","Month","St.Lawrence(SFD+ADVM)","St.Lawrence (Coordinated)"
1922,1,5890,5890
1922,2,5610,5610
1922,3,6030,6030
1922,4,6800,6800
1922,5,7020,7020
1922,6,7140,7140
1922,7,7280,7280
1922,8,7020,7020
1922,9,6710,6710
1922,10,6480,6480
1922,11,6200,6200
1922,12,5890,5890
1923,1,5660,5660
1923,2,5550,5550
1923,3,5550,5550
1923,4,6260,6260
1923,5,6480,6480
1923,6,6680,6680
1923,7,6540,6540
1923,8,6370,6370
1923,9,6120,6120
1923,10,5890,5890
1923,11,5780,5780
1923,12,5860,5860
1924,1,5950,5950
1924,2,5720,5720
1924,3,5890,5890
1924,4,6340,6340
1924,5,6800,6800
1924,6,6880,6880
1924,7,6850,6850
1924,8,6740,6740
1924,9,6510,6510
1924,10,6400,6400
1924,11,6170,6170
1924,12,5890,5890
1925,1,5180,5180
1925,2,5320,5320
1925,3,6090,6090
1925,4,6430,6430
1925,5,6510,6510
1925,6,6400,6400
1925,7,6290,6290
1925,8,6120,6120
1925,9,5890,5890
1925,10,5780,5780
1925,11,5830,5830
1925,12,5950,5950
1926,1,5520,5520
1926,2,5100,5100
1926,3,5300,5300
1926,4,6060,6060
1926,5,6370,6370
1926,6,6340,6340
1926,7,6290,6290
1926,8,6140,6140
1926,9,6060,6060
1926,10,6170,6170
1926,11,6430,6430
1926,12,6430,6430
1927,1,5970,5970
1927,2,5660,5660
1927,3,6260,6260
1927,4,6680,6680
1927,5,6710,6710
1927,6,6850,6850
1927,7,6770,6770
1927,8,6630,6630
1927,9,6340,6340
1927,10,6140,6140
1927,11,6120,6120
1927,12,6600,6600
1928,1,6680,6680
1928,2,6540,6540
1928,3,6540,6540
1928,4,6990,6990
1928,5,7050,7050
1928,6,7080,7080
1928,7,7190,7190
1928,8,7110,7110
1928,9,6850,6850
1928,10,6630,6630
1928,11,6540,6540
1928,12,6650,6650
1929,1,6540,6540
1929,2,6480,6480
1929,3,6770,6770
1929,4,7420,7420
1929,5,8100,8100
1929,6,8130,8130
1929,7,8070,8070
1929,8,7900,7900
1929,9,7560,7560
1929,10,7220,7220
1929,11,7140,7140
1929,12,6740,6740
1930,1,7050,7050
1930,2,7140,7140
1930,3,7620,7620
1930,4,7870,7870
1930,5,7900,7900
1930,6,7960,7960
